Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
(blank),225.478,(leeg),Industrial,Aandelen,225478
1011778 BC ULC / New Red Finance Inc,32.087.956,Canada,"Consumer, cyclical",Bedrijfsobligaties,32087956
1261229 BC Ltd,3.714.477,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,3714477
180 Medical Inc,2.571.215,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,2571215
360 Security Technology Inc,337.952,China,Communications,Aandelen,337952
37 Interactive Entertainment Network Technology Group Co Ltd,203.888,China,Technology,Aandelen,203888
3i Group PLC,10.511.355,Verenigd Koninkrijk,Financial,Bedrijfsobligaties,10511355
3M Co,15.511.451,Verenigde Staten,Industrial,Aandelen,15511451
3M Co,7.988.925,Verenigde Staten,Industrial,Bedrijfsobligaties,7988925
3SBio Inc,2.924.767,China,"Consumer, non-cyclical",Aandelen,2924767
A2A SpA,9.905.846,Italië,Utilities,Bedrijfsobligaties,9905846
AAC Technologies Holdings Inc,1.674.512,China,Industrial,Aandelen,1674512
AAR Escrow Issuer LLC,2.657.877,Verenigde Staten,Industrial,Bedrijfsobligaties,2657877
ABB Finance BV,1.615.278,Zwitserland,Industrial,Bedrijfsobligaties,1615278
ABB India Ltd,1.952.271,India,Industrial,Aandelen,1952271
ABB Ltd,14.688.059,Zwitserland,Industrial,Aandelen,14688059
Abbott Laboratories,35.379.626,Verenigde Staten,"Consumer, non-cyclical",Aandelen,35379626
AbbVie Inc,76.062.040,Verenigde Staten,"Consumer, non-cyclical",Aandelen,76062040
AbbVie Inc,12.294.972,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12294972
Abertis France SAS,33.773.071,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,33773071
Abertis Infraestructuras Finance BV,31.810.840,Spanje,Industrial,Bedrijfsobligaties,31810840
Abertis Infraestructuras SA,17.419.796,Spanje,"Consumer, non-cyclical",Bedrijfsobligaties,17419796
ABN AMRO Bank NV,1.668.485,Nederland,Financial,Aandelen,1668485
ABN AMRO Bank NV,27.136.536,Nederland,Financial,Bedrijfsobligaties,27136536
Absa Group Ltd,6.482.838,Zuid-Africa,Financial,Aandelen,6482838
Abu Dhabi Islamic Bank PJSC,4.501.682,Verenigde Arabische Emiraten,Financial,Aandelen,4501682
Acadia Healthcare Co Inc,8.212.886,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,8212886
Accenture PLC,24.353.771,Verenigde Staten,Technology,Aandelen,24353771
Acciona SA,731.452,Spanje,Industrial,Aandelen,731452
Accor SA,8.759.860,Frankrijk,"Consumer, cyclical",Bedrijfsobligaties,8759860
Accor SA,1.059.329,Frankrijk,"Consumer, cyclical",Aandelen,1059329
Accton Technology Corp,10.166.183,Taiwan,Communications,Aandelen,10166183
ACEA SpA,5.061.523,Italië,Utilities,Bedrijfsobligaties,5061523
Acef Holding SCA,23.012.440,Luxemburg,Financial,Bedrijfsobligaties,23012440
Achmea Bank NV,6.004.818,Nederland,Financial,Bedrijfsobligaties,6004818
Achmea BV,5.983.612,Nederland,Financial,Bedrijfsobligaties,5983612
Acushnet Co,4.963.025,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,4963025
AddTech AB,1.010.311,Zweden,"Consumer, cyclical",Aandelen,1010311
adidas AG,3.168.367,Duitsland,"Consumer, cyclical",Aandelen,3168367
Adient Global Holdings Ltd,6.082.400,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,6082400
Adler Pelzer Holding GmbH,2.682.281,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,2682281
Admiral Group PLC,11.760.493,Verenigd Koninkrijk,Financial,Aandelen,11760493
Adobe Inc,20.335.429,Verenigde Staten,Technology,Aandelen,20335429
ADT Security Corp/The,6.055.280,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,6055280
Advanced Drainage Systems Inc,9.721.890,Verenigde Staten,Industrial,Bedrijfsobligaties,9721890
Advanced Info Service PCL,6.587.098,Thailand,Communications,Aandelen,6587098
Advanced Micro Devices Inc,90.384.927,Verenigde Staten,Technology,Aandelen,90384927
Advantage Sales & Marketing Inc,5.466.798,Verenigde Staten,Communications,Bedrijfsobligaties,5466798
Advantech Co Ltd,1.815.879,Taiwan,Technology,Aandelen,1815879
Advantest Corp,24.300.152,Japan,Technology,Aandelen,24300152
Adyen NV,8.314.615,Nederland,"Consumer, non-cyclical",Aandelen,8314615
AECOM,2.162.608,Verenigde Staten,Industrial,Aandelen,2162608
AECOM,13.589.783,Verenigde Staten,Industrial,Bedrijfsobligaties,13589783
Aegon Ltd,1.106.168,Verenigde Staten,Financial,Aandelen,1106168
Aena SME SA,15.813.589,Spanje,Industrial,Bedrijfsobligaties,15813589
Aena SME SA,2.595.205,Spanje,Industrial,Aandelen,2595205
Aeon Co Ltd,5.751.059,Japan,"Consumer, non-cyclical",Aandelen,5751059
AerCap Holdings NV,2.970.170,Ierland,Financial,Aandelen,2970170
Aeroporti di Roma SpA,13.353.867,Italië,Industrial,Bedrijfsobligaties,13353867
Aeroports de Paris SA,24.158.319,Frankrijk,Industrial,Bedrijfsobligaties,24158319
Aeroports de Paris SA,486.704,Frankrijk,Industrial,Aandelen,486704
Aflac Inc,11.104.495,Verenigde Staten,Financial,Aandelen,11104495
AGC Inc,1.709.656,Japan,Industrial,Aandelen,1709656
AGCO International Holdings BV,5.678.100,Verenigde Staten,Industrial,Bedrijfsobligaties,5678100
Ageas SA/NV,1.254.065,België,Financial,Aandelen,1254065
