Land,Bedrag in €,Bedrag in € (num)
Germany,3.989.915.000,3989915000
Netherlands,1.895.137.488,1895137488
SupraNational,881.474.079,881474079
Austria,873.136.871,873136871
France,651.996.387,651996387
Finland,554.457.765,554457765
Belgium,458.933.747,458933747
Spain,450.918.023,450918023
Ireland,433.875.572,433875572
Mexico,428.992.932,428992932
South Africa,402.824.165,402824165
Brazil,348.861.811,348861811
Indonesia,318.966.378,318966378
Colombia,247.722.433,247722433
India,223.282.831,223282831
Romania,198.845.724,198845724
Thailand,188.507.840,188507840
Turkey,182.423.915,182423915
Hungary,145.897.966,145897966
Portugal,139.568.345,139568345
Peru,137.638.543,137638543
Dominican Republic,127.602.956,127602956
Philippines,113.053.339,113053339
Nigeria,94.300.166,94300166
Uruguay,81.005.286,81005286
Panama,79.718.254,79718254
Ecuador,61.200.392,61200392
Angola,46.384.709,46384709
Costa Rica,40.993.333,40993333
Kenya,40.582.274,40582274
Ivory Coast,38.456.922,38456922
El Salvador,38.057.504,38057504
Morocco,32.603.097,32603097
Paraguay,29.654.021,29654021
United States,26.534.463,26534463
Jamaica,23.235.424,23235424
Serbia,22.747.299,22747299
Trinidad & Tobago,13.044.380,13044380
Senegal,10.674.226,10674226
Benin,9.458.821,9458821
Mongolia,8.385.373,8385373
Argentina,8.358.689,8358689
Bulgaria,5.346.344,5346344
Canada,3.169.288,3169288
Papua New Guinea,2.201.317,2201317
Armenia,1.671.387,1671387
Chile,1.452.768,1452768
Georgia,1.041.803,1041803
Poland,649.134,649134
Denmark,499.972,499972
