Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamABB Finance BV,Bedrag in euro's49.460.984
BedrijfsnaamAbbVie Inc,Bedrag in euro's14.599.260
BedrijfsnaamABN AMRO Bank NV,Bedrag in euro's34.176.568
BedrijfsnaamAcef Holding SCA,Bedrag in euro's65.231.454
BedrijfsnaamAchmea Bank NV,Bedrag in euro's17.546.055
BedrijfsnaamAena SME SA,Bedrag in euro's37.752.946
BedrijfsnaamAeroports de Paris SA,Bedrag in euro's44.579.213
BedrijfsnaamAGCO International Holdings BV,Bedrag in euro's18.200.949
BedrijfsnaamAir Products and Chemicals Inc,Bedrag in euro's81.784.335
BedrijfsnaamAker BP ASA,Bedrag in euro's27.661.084
BedrijfsnaamAkzo Nobel NV,Bedrag in euro's33.337.493
BedrijfsnaamAlcon Finance BV,Bedrag in euro's16.988.962
BedrijfsnaamAliaxis Finance SA,Bedrag in euro's31.223.939
BedrijfsnaamAlimentation Couche-Tard Inc,Bedrag in euro's49.495.411
BedrijfsnaamAlliander NV,Bedrag in euro's77.331.636
BedrijfsnaamAllianz Finance II BV,Bedrag in euro's26.437.229
BedrijfsnaamAlphabet Inc,Bedrag in euro's21.002.196
BedrijfsnaamAmadeus IT Group SA,Bedrag in euro's11.243.992
BedrijfsnaamAmcor UK Finance PLC,Bedrag in euro's45.312.585
BedrijfsnaamAmerican Express Co,Bedrag in euro's16.909.192
BedrijfsnaamAmerican Honda Finance Corp,Bedrag in euro's103.245.119
BedrijfsnaamAmerican Tower Corp,Bedrag in euro's48.223.187
BedrijfsnaamAmprion GmbH,Bedrag in euro's43.079.266
BedrijfsnaamAnheuser-Busch InBev SA/NV,Bedrag in euro's67.193.335
BedrijfsnaamANZ New Zealand Int'l Ltd/London,Bedrag in euro's27.621.003
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's28.329.758
BedrijfsnaamAPRR SA,Bedrag in euro's55.950.589
BedrijfsnaamArcadis NV,Bedrag in euro's13.483.779
BedrijfsnaamArgenta Spaarbank NV,Bedrag in euro's29.915.702
BedrijfsnaamArgentum Netherlands BV for Givaudan SA,Bedrag in euro's31.998.737
BedrijfsnaamArkema SA,Bedrag in euro's19.752.162
BedrijfsnaamAroundtown SA,Bedrag in euro's29.370.172
BedrijfsnaamAsahi Group Holdings Ltd,Bedrag in euro's40.329.070
BedrijfsnaamASB Bank Ltd,Bedrag in euro's38.613.543
BedrijfsnaamAstrazeneca Finance LLC,Bedrag in euro's15.566.626
BedrijfsnaamAstraZeneca PLC,Bedrag in euro's32.550.566
BedrijfsnaamAT&T Inc,Bedrag in euro's63.914.764
BedrijfsnaamAtlas Copco Finance DAC,Bedrag in euro's10.060.363
BedrijfsnaamAurizon Network Pty Ltd,Bedrag in euro's15.525.841
BedrijfsnaamAusgrid Finance Pty Ltd,Bedrag in euro's18.768.159
BedrijfsnaamAusNet Services Holdings Pty Ltd,Bedrag in euro's32.565.822
BedrijfsnaamAustralia & New Zealand Banking Group Ltd,Bedrag in euro's14.516.303
BedrijfsnaamAustralia Pacific Airports Melbourne Pty Ltd,Bedrag in euro's33.209.599
BedrijfsnaamAutoroutes du Sud de la France SA,Bedrag in euro's66.049.460
BedrijfsnaamAvery Dennison Corp,Bedrag in euro's14.522.729
BedrijfsnaamAXA SA,Bedrag in euro's33.708.896
BedrijfsnaamAyvens Bank NV,Bedrag in euro's19.841.913
BedrijfsnaamAyvens SA,Bedrag in euro's34.846.208
BedrijfsnaamBanco Santander SA,Bedrag in euro's56.140.620
BedrijfsnaamBank of America Corp,Bedrag in euro's77.581.591
BedrijfsnaamBank of Montreal,Bedrag in euro's20.133.797
BedrijfsnaamBank of New Zealand,Bedrag in euro's26.857.288
BedrijfsnaamBanque Federative du Credit Mutuel SA,Bedrag in euro's83.979.508
BedrijfsnaamBarclays PLC,Bedrag in euro's30.518.776
BedrijfsnaamBASF SE,Bedrag in euro's26.176.405
BedrijfsnaamBayer AG,Bedrag in euro's50.678.342
BedrijfsnaamBecton Dickinson & Co,Bedrag in euro's19.028.317
BedrijfsnaamBecton Dickinson Euro Finance Sarl,Bedrag in euro's86.217.621
BedrijfsnaamBelfius Bank SA,Bedrag in euro's20.214.791
BedrijfsnaamBG Energy Capital PLC,Bedrag in euro's30.723.923
BedrijfsnaamBHP Billiton Finance Ltd,Bedrag in euro's30.076.000
BedrijfsnaamBlackrock Inc,Bedrag in euro's20.975.413
BedrijfsnaamBlackstone Property Partners Europe Holdings Sarl,Bedrag in euro's35.238.612
BedrijfsnaamBMW Finance NV,Bedrag in euro's20.761.237
BedrijfsnaamBMW International Investment BV,Bedrag in euro's30.321.743
BedrijfsnaamBMW US Capital LLC,Bedrag in euro's23.189.886
BedrijfsnaamBNP Paribas SA,Bedrag in euro's26.040.564
BedrijfsnaamBooking Holdings Inc,Bedrag in euro's80.418.072
BedrijfsnaamBorgWarner Inc,Bedrag in euro's35.804.098
BedrijfsnaamBP Capital Markets BV,Bedrag in euro's42.012.204
BedrijfsnaamBP Capital Markets PLC,Bedrag in euro's39.160.947
BedrijfsnaamBPCE SA,Bedrag in euro's34.550.093
BedrijfsnaamBrambles Finance PLC,Bedrag in euro's59.308.528
BedrijfsnaamBrambles USA Inc,Bedrag in euro's4.885.536
BedrijfsnaamBrenntag Finance BV,Bedrag in euro's29.864.147
BedrijfsnaamBritish Telecommunications PLC,Bedrag in euro's38.482.348
BedrijfsnaamBunzl Finance PLC,Bedrag in euro's20.456.531
BedrijfsnaamCadent Finance PLC,Bedrag in euro's35.929.620
BedrijfsnaamCanadian Imperial Bank of Commerce,Bedrag in euro's2.068.427
BedrijfsnaamCargill Inc,Bedrag in euro's16.634.278
BedrijfsnaamCarlsberg Breweries A/S,Bedrag in euro's95.375.293
BedrijfsnaamCarrefour SA,Bedrag in euro's39.264.345
BedrijfsnaamCarrier Global Corp,Bedrag in euro's18.566.654
BedrijfsnaamCBRE Global Investors Open-Ended Fund SCA SICAV-SIF Pan European Core Fund,Bedrag in euro's43.220.870
BedrijfsnaamCCEP Finance Ireland DAC,Bedrag in euro's16.775.588
BedrijfsnaamCellnex Finance Co SA,Bedrag in euro's45.647.104
BedrijfsnaamCencora Inc,Bedrag in euro's30.280.221
BedrijfsnaamChorus Ltd,Bedrag in euro's22.224.813
BedrijfsnaamChubb INA Holdings Inc,Bedrag in euro's67.251.817
BedrijfsnaamCie de Saint-Gobain SA,Bedrag in euro's77.499.835
