Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamAAR Escrow Issuer LLC,Bedrag in euro's 8.187.617
BedrijfsnaamAbertis Infraestructuras Finance BV,Bedrag in euro's 53.625.430
BedrijfsnaamAcadia Healthcare Co Inc,Bedrag in euro's 13.254.777
BedrijfsnaamAccor SA,Bedrag in euro's 29.421.950
BedrijfsnaamAdler Pelzer Holding GmbH,Bedrag in euro's 5.491.634
BedrijfsnaamAdvanced Drainage Systems Inc,Bedrag in euro's 14.576.481
BedrijfsnaamAECOM,Bedrag in euro's 10.381.222
BedrijfsnaamAir France-KLM,Bedrag in euro's 15.991.720
BedrijfsnaamAlbertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC,Bedrag in euro's 11.409.621
BedrijfsnaamAlbion Financing 1 SARL / Aggreko Holdings Inc,Bedrag in euro's 5.227.335
BedrijfsnaamAlcoa Nederland Holding BV,Bedrag in euro's 4.037.173
BedrijfsnaamAlexandrite Lake Lux Holdings Sarl,Bedrag in euro's 3.230.022
BedrijfsnaamAlstom SA,Bedrag in euro's 26.379.444
BedrijfsnaamAlstria Office AG,Bedrag in euro's 9.933.911
BedrijfsnaamAlumina Pty Ltd,Bedrag in euro's 4.696.187
BedrijfsnaamAmber Finco PLC,Bedrag in euro's 7.006.760
BedrijfsnaamAmerican Airlines Inc/AAdvantage Loyalty IP Ltd,Bedrag in euro's 6.046.844
BedrijfsnaamAmerican Axle & Manufacturing Inc,Bedrag in euro's 4.370.973
BedrijfsnaamAmkor Technology Inc,Bedrag in euro's 9.357.061
BedrijfsnaamAMN Healthcare Inc,Bedrag in euro's 7.079.360
Bedrijfsnaamams-OSRAM AG,Bedrag in euro's 7.031.861
BedrijfsnaamAmsted Industries Inc,Bedrag in euro's 4.606.579
BedrijfsnaamAntero Midstream Partners LP / Antero Midstream Finance Corp,Bedrag in euro's 13.661.482
BedrijfsnaamAPA Infrastructure Ltd,Bedrag in euro's 10.592.683
BedrijfsnaamAramark International Finance Sarl,Bedrag in euro's 15.071.273
BedrijfsnaamAramark Services Inc,Bedrag in euro's 2.775.580
BedrijfsnaamArchrock Partners LP / Archrock Partners Finance Corp,Bedrag in euro's 7.500.566
BedrijfsnaamArcosa Inc,Bedrag in euro's 10.878.080
BedrijfsnaamArdagh Metal Packaging Finance USA LLC / Ardagh Metal Packaging Finance PLC,Bedrag in euro's 17.904.448
BedrijfsnaamAroundtown Finance Sarl,Bedrag in euro's 20.979.795
BedrijfsnaamAroundtown SA,Bedrag in euro's 6.907.234
BedrijfsnaamAsbury Automotive Group Inc,Bedrag in euro's 21.263.139
BedrijfsnaamASGN Inc,Bedrag in euro's 6.479.210
BedrijfsnaamAshland Services BV,Bedrag in euro's 10.189.446
BedrijfsnaamASML Holding NV,Bedrag in euro's 31.100.121
