Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamAngola,Bedrag in euro's87.637.554
BedrijfsnaamArgentinië,Bedrag in euro's11.212.551
BedrijfsnaamArmenië,Bedrag in euro's6.223.343
BedrijfsnaamBelgië,Bedrag in euro's770.398.500
BedrijfsnaamBenin,Bedrag in euro's20.205.736
BedrijfsnaamBrazilië,Bedrag in euro's414.569.484
BedrijfsnaamCanada,Bedrag in euro's8.828.185
BedrijfsnaamChili,Bedrag in euro's124.903.719
BedrijfsnaamColombia,Bedrag in euro's297.694.734
BedrijfsnaamCosta Rica,Bedrag in euro's69.427.641
BedrijfsnaamDominicaanse Republiek,Bedrag in euro's238.263.431
BedrijfsnaamDuitsland,Bedrag in euro's4.279.588.504
BedrijfsnaamEcuador,Bedrag in euro's116.405.853
BedrijfsnaamEl Salvador,Bedrag in euro's76.809.346
BedrijfsnaamFilipijnen,Bedrag in euro's183.614.467
BedrijfsnaamFinland,Bedrag in euro's736.592.716
BedrijfsnaamFrankrijk,Bedrag in euro's884.747.342
BedrijfsnaamGeorgië,Bedrag in euro's1.593.953
BedrijfsnaamHongarije,Bedrag in euro's216.604.104
BedrijfsnaamIerland,Bedrag in euro's545.250.854
BedrijfsnaamIndia,Bedrag in euro's209.253.889
BedrijfsnaamIndonesië,Bedrag in euro's316.542.733
BedrijfsnaamIvoorkust,Bedrag in euro's79.998.540
BedrijfsnaamJamaica,Bedrag in euro's34.294.687
BedrijfsnaamKenia,Bedrag in euro's64.347.407
BedrijfsnaamLetland,Bedrag in euro's9.365.842
BedrijfsnaamMaleisië,Bedrag in euro's131.173.800
BedrijfsnaamMarokko,Bedrag in euro's65.960.744
BedrijfsnaamMexico,Bedrag in euro's379.519.800
BedrijfsnaamMongolië,Bedrag in euro's21.670.217
BedrijfsnaamMontenegro,Bedrag in euro's2.269.297
BedrijfsnaamNederland,Bedrag in euro's2.807.006.892
BedrijfsnaamNigeria,Bedrag in euro's152.803.073
BedrijfsnaamOostenrijk,Bedrag in euro's1.369.891.319
BedrijfsnaamPanama,Bedrag in euro's152.070.287
BedrijfsnaamPapoea-Nieuw-Guinea,Bedrag in euro's1.850.878
BedrijfsnaamParaguay,Bedrag in euro's52.121.460
BedrijfsnaamPeru,Bedrag in euro's237.843.501
BedrijfsnaamPolen,Bedrag in euro's280.323.156
BedrijfsnaamPortugal,Bedrag in euro's137.587.004
BedrijfsnaamRoemenië,Bedrag in euro's239.209.955
BedrijfsnaamSenegal,Bedrag in euro's26.359.263
BedrijfsnaamServië,Bedrag in euro's66.120.213
BedrijfsnaamSpanje,Bedrag in euro's648.017.500
BedrijfsnaamThailand,Bedrag in euro's145.382.577
BedrijfsnaamTrinidad en Tobago,Bedrag in euro's27.960.598
BedrijfsnaamTurkije,Bedrag in euro's280.157.204
BedrijfsnaamUruguay,Bedrag in euro's151.177.010
BedrijfsnaamVerenigde Staten,Bedrag in euro's17.527.811
BedrijfsnaamZuid-Afrika,Bedrag in euro's397.810.505
